source,name,lat,lng,DocNo
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1,Pandi,14.87,120.95,0
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1,Central Luzon,15.47,120.75,0
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1,Bulacan,15,121.08,0
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Bulacan,15,121.08,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Manaoag,16.04,120.48,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Pangasinan,15.92,120.33,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Palauig,15.43,120.05,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Pandi,14.87,120.95,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Cabanatuan,15.48,120.97,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Nueva Ecija,15.58,121,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Zaïre,-1.44,15.55,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Bundibugyo,0.71,30.06,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Côte d'Ivoire,8,-5,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,Sudan,15,32,1
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Balintawak,14.63,121.03,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Quezon City,14.63,121.03,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Bulacan,15,121.08,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Pandi,14.87,120.95,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Talavera,15.58,120.91,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Eastern Visayas,11.24,125.05,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Tacloban,11.24,125,2
Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,Babatngon,11.42,124.85,2
US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,Texas,31,-100,3
US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,Liberia,6.5,-9.5,3
US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,US,40,-100,3
US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,Fort Hood,31.13,-97.78,3
US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,Africa,7.18,21.09,3
Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,Washington,38.90,-77.01,4
Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,D.C.,38.90,-77.01,4
Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,Rockville,39.08,-77.14,4
Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,Maryland,39,-76.7,4
Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,Nigeria,8,10,4
Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital,London,51.50,-0.12,5
Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital,Sierra Leone,8.5,-11.5,5
Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital,Glasgow,55.85,-4.25,5
Bird_flu_outbreak_kills_birds_in_Krasnodar_region,Krasnodar,45.06,38.96,6
Bird_flu_outbreak_kills_birds_in_Krasnodar_region,Russia,60,90,6
Bird_flu_outbreak_kills_birds_in_Krasnodar_region,Temryuk,45.26,37.38,6
Bird_flu_outbreak_kills_birds_in_Krasnodar_region,Anapa,44.88,37.31,6
Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,Taiwan,25.03,121.63,7
Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,Lujhu,25.03,121.28,7
Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,Taoyuan,24.98,121.31,7
Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,Kaohsiung,22.63,120.26,7
Wild_Canadian_Goose_tests_positive_for_H5N1_in_England,Dorset,50.83,-2.33,8
Wild_Canadian_Goose_tests_positive_for_H5N1_in_England,England,51.5,-0.11,8
Wild_Canadian_Goose_tests_positive_for_H5N1_in_England,United Kingdom,55,-3,8
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Queen Anne's County,39.03,-76.08,9
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Crawford County,41.68,-80.11,9
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Pennsylvania,41,-77.5,9
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Asia,29.84,89.29,9
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Europe,51,17.5,9
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Africa,7.18,21.09,9
%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,Maryland,39,-76.7,9
Avian_flu_found_in_eastern_Canada,Canada,60,-95,10
Avian_flu_found_in_eastern_Canada,Prince Edward Island,46.25,-63,10
Avian_flu_found_in_eastern_Canada,O'Leary,46.70,-64.23,10
Avian_flu_found_in_eastern_Canada,Charlottetown,46.23,-63.12,10
Avian_flu_found_in_eastern_Canada,West Prince,46.36,-63.43,10
%22Aggressive%22_Bird_Flu_found_in_Sweden,Oskarshamn,57.26,16.45,11
%22Aggressive%22_Bird_Flu_found_in_Sweden,Sweden,63,16,11
%22Aggressive%22_Bird_Flu_found_in_Sweden,EU,51,17.5,11
%22Aggressive%22_Bird_Flu_found_in_Sweden,Uppsala,59.85,17.64,11
%22Aggressive%22_Bird_Flu_found_in_Sweden,UK,55,-3,11
%22Aggressive%22_Bird_Flu_found_in_Sweden,Rügen,54.41,13.4,11
%22Aggressive%22_Bird_Flu_found_in_Sweden,Baltic Sea,58,20,11
Avian_Flu_is_confirmed_in_Egypt,Egypt,26,30,12
Avian_Flu_is_confirmed_in_Egypt,Mediterranean,35,18,12
Avian_Flu_is_confirmed_in_Egypt,Cairo,30.04,31.23,12
Avian_Flu_is_confirmed_in_Egypt,Giza,30.01,31.21,12
Avian_Flu_is_confirmed_in_Egypt,Al-Minya,28.11,30.74,12
"Bird_Flu_confirmed_in_1,000_UK_turkeys",United Kingdom,55,-3,13
"Bird_Flu_confirmed_in_1,000_UK_turkeys",UK,55,-3,13
"Bird_Flu_confirmed_in_1,000_UK_turkeys",Suffolk,52.16,1,13
"Bird_Flu_confirmed_in_1,000_UK_turkeys",Norfolk,52.66,1,13
"Bird_Flu_confirmed_in_1,000_UK_turkeys",Weybridge,51.36,-0.45,13
Bird_Flu_kills_40th_Indonesian,Tulungagung,-8.06,111.9,14
Bird_Flu_kills_40th_Indonesian,East Java,-7.26,112.75,14
Bird_Flu_kills_40th_Indonesian,Hong Kong,22.3,114.2,14
Bird_Flu_kills_40th_Indonesian,Indonesia,-5,120,14
Bird_flu_spreading_through_Indonesia_and_China,Jakarta,-6.2,106.81,15
Bird_flu_spreading_through_Indonesia_and_China,Indonesia,-5,120,15
Bird_flu_spreading_through_Indonesia_and_China,Fujian,25.9,118.3,15
