,SNE Name,lat,lng,Country Code,Type,Population,source
0,South Sudan,7.5,30,SS,A,8260490,Study_suggests_%27sleeping_sickness%27_parasite_mutated_to_evade_immune_system_defences
1,DR Congo,-2.5,23.5,CD,A,84068091,Study_suggests_%27sleeping_sickness%27_parasite_mutated_to_evade_immune_system_defences
2,Georgia,32.75042,-83.50018,US,A,8975842,Study_suggests_%27sleeping_sickness%27_parasite_mutated_to_evade_immune_system_defences
3,Angola,41.63477,-84.99941,US,P,8644,Study_suggests_%27sleeping_sickness%27_parasite_mutated_to_evade_immune_system_defences
4,Uganda,1.25,32.5,UG,A,42723139,Study_suggests_%27sleeping_sickness%27_parasite_mutated_to_evade_immune_system_defences
5,Glasgow,36.99588,-85.91192,US,P,14470,Study_suggests_%27sleeping_sickness%27_parasite_mutated_to_evade_immune_system_defences
6,Saudi Arabia,25,45,SA,A,33699947,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
7,Iran,32,53,IR,A,81800269,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
8,Sudan,16,30,SD,A,41801533,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
9,India,22,79,IN,A,1352617328,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
10,Morocco,28.5,-10,MA,A,36029138,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
11,Nigeria,10,8,NG,A,195874740,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
12,South Africa,-29,24,ZA,A,57779622,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
13,Egypt,40.6801,-75.52991,US,P,2391,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
14,Mecca,33.57219,-116.0782,US,P,8577,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
15,Cairo,30.87751,-84.20214,US,P,9752,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
16,Medina,41.11759,-81.89971,US,A,172332,Saudi_Arabia_fears_Hajj_swine_flu_outbreak_as_four_pilgrims_die
17,Algeria,28,3,DZ,A,42228429,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
18,England,52.16045,-0.70312,GB,A,56286961,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
19,France,46,2,FR,A,66987244,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
20,Ukraine,49,32,UA,A,44622516,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
21,London,51.50853,-0.12574,GB,P,8961989,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
22,Algiers,36.74053,3.00957,DZ,A,2988145,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
23,Taiwan,24.15114,120.70541,TW,A,7095464,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
24,Kaohsiung,22.63429,120.36621,TW,A,2769072,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
25,Taoyuan,24.895,121.24611,TW,A,2044023,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak
26,Babatngon,11.4238,124.8449,PH,P,6237,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
27,Balintawak,16.3645,119.8688,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
28,Bulacan,6.56306,125.41,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
29,Tacloban,9.21861,123.5525,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
30,Quezon City,14.6488,121.0509,PH,P,2761720,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3
