SNE Name,lat,lng,Country Code,Type,Population,source
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
Central Luzon,15.30714,120.79762,PH,A,10137737,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
Central Luzon,15.30714,120.79762,PH,A,10137737,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabanatuan City,15.49127,120.99166,PH,A,302231,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Province of Nueva Ecija,15.58333,121,PH,A,1853853,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabanatuan City,15.49127,120.99166,PH,A,302231,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Province of Nueva Ecija,15.58333,121,PH,A,1853853,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabanatuan City,15.49127,120.99166,PH,A,302231,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bundibugyo,0.71117,30.06469,UG,P,16919,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Province of Nueva Ecija,15.58333,121,PH,A,1853853,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabanatuan City,15.49127,120.99166,PH,A,302231,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bundibugyo,0.71117,30.06469,UG,P,16919,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Province of Nueva Ecija,15.58333,121,PH,A,1853853,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Cabanatuan City,15.49127,120.99166,PH,A,302231,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pandi,14.87462,120.96683,PH,A,89075,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Pangasinan,10.58336,122.5178,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bundibugyo,0.71117,30.06469,UG,P,16919,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Sudan,16,30,SD,A,41801533,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Manaoag,16.03333,120.48333,PH,A,69497,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Bulacan,7.57528,122.88556,PH,P,0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Palauig,15.435,119.9045,PH,P,2944,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
Province of Nueva Ecija,15.58333,121,PH,A,1853853,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2
